Algorithm,TARGET_CLASS,criterion,Coverage,BranchCoverage,Total_Goals,Covered_Goals
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8951048951048951,1.0,220,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9110576923076923,1.0,219,202
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9095279720279721,1.0,220,201
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8918269230769231,1.0,221,196
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8918269230769231,1.0,221,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8870192307692308,1.0,221,194
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9095279720279721,1.0,220,200
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9071241258741258,1.0,220,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9047202797202797,1.0,220,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9139423076923077,1.0,219,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9071241258741258,1.0,220,200
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9043269230769231,1.0,219,196
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9043269230769231,1.0,219,196
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9038461538461539,1.0,221,201
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9019230769230769,1.0,219,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8999125874125874,1.0,220,197
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8995192307692308,1.0,219,193
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8918269230769231,1.0,221,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9115384615384615,1.0,219,198
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8951048951048951,1.0,220,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.905448717948718,1.0,221,194
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8902972027972028,1.0,220,193
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9067307692307692,1.0,219,197
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8942307692307693,1.0,221,196
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9047202797202797,1.0,220,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.891559829059829,1.0,218,192
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8918269230769231,1.0,221,196
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8975087412587412,1.0,220,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8923076923076922,1.0,219,191
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.91875,1.0,219,201
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9067307692307692,1.0,219,197
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9014423076923077,1.0,221,200
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8918269230769231,1.0,219,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9014423076923077,1.0,221,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.892701048951049,1.0,220,194
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8902972027972028,1.0,220,192
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9115384615384615,1.0,219,198
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8902972027972028,1.0,220,193
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9047202797202797,1.0,220,198
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9067307692307692,1.0,219,197
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8966346153846154,1.0,219,197
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8995192307692308,1.0,219,194
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8902972027972028,1.0,220,192
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9139423076923077,1.0,219,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.892701048951049,1.0,220,194
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.889155982905983,1.0,218,191
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9139423076923077,1.0,219,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8822115384615384,1.0,219,191
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9019230769230769,1.0,219,194
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9091346153846154,1.0,219,197
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8846153846153846,1.0,221,193
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9091346153846154,1.0,219,198
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9139423076923077,1.0,219,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8947115384615385,1.0,219,192
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8854895104895105,1.0,220,190
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8854895104895105,1.0,220,191
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8951048951048951,1.0,220,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9019230769230769,1.0,219,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9038461538461539,1.0,219,200
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8867521367521367,1.0,218,190
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9139423076923077,1.0,219,200
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8951048951048951,1.0,220,195
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9014423076923077,1.0,219,199
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9067307692307692,1.0,219,197
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8846153846153846,1.0,217,191
DYNAMOSA,org.fixsuite.message.info.GroupInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8963675213675214,1.0,218,194
