TARGET_CLASS,criterion,Coverage,BranchCoverage,Total_Goals,Covered_Goals
com.imsmart.cms.MContentManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
com.imsmart.cms.MContentManagerFileNet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10461538461538462,0.038461538461538464,206,7
com.imsmart.exception.MException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,24,24
com.imsmart.main.MImageMigrator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8061324786324786,0.7222222222222222,192,149
com.imsmart.main.MMigrater,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.708340727595386,0.6,127,64
com.imsmart.main.MSession,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,1.0,33,32
com.imsmart.main.Test,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8477564102564102,0.6666666666666666,74,50
com.imsmart.misc.MDate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.890625,1.0,69,59
com.imsmart.misc.MLog,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,1.0,52,46
com.imsmart.misc.MProperties,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9125,1.0,72,70
com.imsmart.parser.MCSVParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7591032608695653,0.8,114,88
com.imsmart.parser.MParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
com.imsmart.parser.MParserFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6646825396825397,0.6666666666666666,32,19
com.imsmart.report.MReport,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
com.imsmart.report.MReportCSV,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,1.0,61,58
com.imsmart.report.MReportHTML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,1.0,73,72
com.imsmart.servlet.HTMLFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9956896551724138,1.0,84,83
dsachat.Main,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.88125,1.0,55,42
dsachat.Test,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,12,12
dsachat.client.ClientMain,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6875,1.0,15,9
dsachat.client.gui.InternalChatFrame,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15850578316610925,0.043478260869565216,793,168
dsachat.client.gui.InternalHeroFrame,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.08346835257527152,0.03225806451612903,530,12
dsachat.client.gui.SingleHeroTreeModel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3654911360218715,0.19402985074626866,396,93
dsachat.client.net.SecClient,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5025197013100239,0.5714285714285714,221,97
dsachat.gm.GmMain,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6875,1.0,15,9
dsachat.gm.gui.InternalGmChatFrame,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15768045070277342,0.043478260869565216,808,168
dsachat.gm.gui.InternalGmHeroFrame,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.23184751561046898,0.12,423,161
dsachat.gm.gui.MultiHeroTreeModel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6011217794333301,0.45,456,217
dsachat.gm.gui.ValueHolder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,1.0,18,17
dsachat.server.CServer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,1.0,30,25
dsachat.server.Entry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,5,5
dsachat.server.Handler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5724199448495162,0.29591836734693877,712,191
dsachat.server.ServerMain,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,17,17
dsachat.server.net.SecServer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5430555555555555,0.3888888888888889,145,53
dsachat.share.Challenge,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1870205688658442,0.014705882352941176,789,101
dsachat.share.ChallReq,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,49,49
dsachat.share.ConnectionEndpoint,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
dsachat.share.InputEvent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95,1.0,24,22
dsachat.share.InputListener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
dsachat.share.KeyExc,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,15,15
dsachat.share.UserEvent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,27,27
dsachat.share.hero.Attribute,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9791666666666667,1.0,54,52
dsachat.share.hero.FightValue,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9523809523809523,1.0,96,88
dsachat.share.hero.Special,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,41,41
dsachat.share.hero.Spell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,1.0,10,8
dsachat.share.hero.Talent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8912037037037037,1.0,96,87
dsachat.share.hero.Weapon,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9138513513513513,1.0,252,237
org.databene.jdbacl.ColumnInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,1.0,24,22
org.databene.jdbacl.DatabaseTestUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3125,0.3333333333333333,29,8
org.databene.jdbacl.DBExecutionResult,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,10,10
org.databene.jdbacl.JDBCConnectData,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7425595238095238,1.0,70,58
org.databene.jdbacl.ResultsWithMetadata,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,24,24
org.databene.jdbacl.SQLScriptException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9625,1.0,71,68
org.databene.jdbacl.identity.InvalidIdentityDefinitionError,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,24,24
org.databene.jdbacl.identity.NKBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,1.0,45,42
org.databene.jdbacl.identity.mem.GlobalRowId,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.14781746031746032,0.05555555555555555,109,11
org.databene.jdbacl.model.jdbc.DBIndexInfo,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7677083333333333,1.0,180,166
org.databene.jdbacl.sql.parser.TextHolder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
org.databene.jdbacl.swing.DatabaseTree,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,6,6
org.databene.jdbacl.swing.EnvironmentSelector$EnvironmentModel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.08173076923076923,0.0,78,3
org.databene.jdbacl.swing.EnvironmentSelector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10848214285714286,0.1,85,5
org.databene.jdbacl.swing.TextFieldValueProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8958333333333334,1.0,17,15
uk.me.jockmacmad.jstate.patterns.ISingleton,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.patterns.SingletonConstructionException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,12,12
uk.me.jockmacmad.jstate.predicate.EvaluationNotPossibleException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,12,12
uk.me.jockmacmad.jstate.predicate.IGreaterThan,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.predicate.ILessThan,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.predicate.IPredicate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.state.EndState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,1.0,44,34
uk.me.jockmacmad.jstate.state.Event,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8101190476190476,1.0,52,39
uk.me.jockmacmad.jstate.state.ICompoundState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.state.IGuardCondition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.state.IntegerGreaterThanGuardCondition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5746436403508772,0.5,56,34
uk.me.jockmacmad.jstate.state.InvalidMethodInStateException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,12,12
uk.me.jockmacmad.jstate.state.IState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.state.IStateMachine,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.state.IStateMachineContainer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,1.0,0,0
uk.me.jockmacmad.jstate.state.MethodNotPresentException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,6,6
uk.me.jockmacmad.jstate.state.NonDeterministicException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,12,12
uk.me.jockmacmad.jstate.state.StartState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.768452380952381,1.0,41,29
uk.me.jockmacmad.jstate.state.StateMachine,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.23568162020905922,0.20833333333333334,130,39
