Algorithm,TARGET_CLASS,criterion,Coverage,BranchCoverage,Total_Goals,Covered_Goals
DYNAMOSA,com.imsmart.cms.MContentManagerFileNet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.10461538461538462,0.038461538461538464,206,7
DYNAMOSA,com.imsmart.exception.MException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,24,24
DYNAMOSA,com.imsmart.main.MImageMigrator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8061324786324786,0.7222222222222222,192,149
DYNAMOSA,com.imsmart.main.MMigrater,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6202861579414374,0.5,125,38
DYNAMOSA,com.imsmart.main.MSession,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,1.0,34,33
DYNAMOSA,com.imsmart.main.Test,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8477564102564102,0.6666666666666666,74,50
DYNAMOSA,com.imsmart.misc.MDate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.890625,1.0,69,57
DYNAMOSA,com.imsmart.misc.MLog,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,1.0,51,45
DYNAMOSA,com.imsmart.misc.MProperties,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8875,1.0,72,69
DYNAMOSA,com.imsmart.parser.MCSVParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7591032608695653,0.8,114,84
DYNAMOSA,com.imsmart.parser.MParserFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6646825396825397,0.6666666666666666,32,19
DYNAMOSA,com.imsmart.report.MReportCSV,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.875,1.0,61,58
DYNAMOSA,com.imsmart.report.MReportHTML,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,1.0,73,72
DYNAMOSA,com.imsmart.servlet.HTMLFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9956896551724138,1.0,84,83
DYNAMOSA,dsachat.Main,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.88125,1.0,55,42
DYNAMOSA,dsachat.Test,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,1.0,12,12
DYNAMOSA,dsachat.client.ClientMain,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6875,1.0,15,9
DYNAMOSA,dsachat.client.gui.InternalChatFrame,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15850578316610925,0.043478260869565216,793,168
DYNAMOSA,dsachat.client.gui.InternalHeroFrame,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.08346835257527152,0.03225806451612903,530,12
DYNAMOSA,dsachat.client.gui.SingleHeroTreeModel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3654911360218715,0.19402985074626866,396,93
